status,path,label,prediction,pinecone_,neo_,trinity_,morpheus_
❌,./images/trash/trash8.jpg,6,4,0.9895395040512085,4,5,4
✅,./images/trash/trash9.jpg,6,6,0.4570028781890869,5,5,5
❌,./images/trash/trash75.jpg,6,4,0.9713665246963501,4,3,4
❌,./images/trash/trash61.jpg,6,1,0.9527069926261902,1,5,1
❌,./images/trash/trash49.jpg,6,4,0.9933532476425171,4,5,4
❌,./images/trash/trash44.jpg,6,4,0.9915102124214172,4,5,4
❌,./images/trash/trash50.jpg,6,3,0.9968745112419128,3,2,3
✅,./images/trash/trash78.jpg,6,6,0.4473531246185303,5,5,5
❌,./images/trash/trash87.jpg,6,3,0.9983201026916504,3,2,3
❌,./images/trash/trash93.jpg,6,4,0.8513736724853516,4,2,4
❌,./images/trash/trash4.jpg,6,5,0.9830009341239929,5,4,5
❌,./images/trash/trash5.jpg,6,5,0.8915344476699829,5,3,5
✅,./images/trash/trash92.jpg,6,6,0.3815428912639618,1,5,1
❌,./images/trash/trash86.jpg,6,4,0.9828976392745972,4,3,4
✅,./images/trash/trash79.jpg,6,6,0.43641453981399536,1,5,1
✅,./images/trash/trash51.jpg,6,6,0.4595651626586914,1,5,4
❌,./images/trash/trash45.jpg,6,4,0.9934104681015015,4,5,4
✅,./images/trash/trash53.jpg,6,6,0.46077394485473633,5,5,4
❌,./images/trash/trash47.jpg,6,4,0.994688868522644,4,3,4
❌,./images/trash/trash90.jpg,6,4,0.989683985710144,4,5,4
❌,./images/trash/trash84.jpg,6,4,0.994583249092102,4,5,4
❌,./images/trash/trash7.jpg,6,0,0.9805285334587097,0,5,0
✅,./images/trash/trash6.jpg,6,6,0.44016867876052856,5,5,5
✅,./images/trash/trash85.jpg,6,6,0.36193937063217163,4,5,4
❌,./images/trash/trash91.jpg,6,4,0.9731313586235046,4,3,4
❌,./images/trash/trash46.jpg,6,5,0.9503963589668274,5,5,5
❌,./images/trash/trash52.jpg,6,4,0.9985483288764954,4,3,4
❌,./images/trash/trash56.jpg,6,4,0.9871640205383301,4,5,4
❌,./images/trash/trash42.jpg,6,4,0.9870938062667847,4,5,4
✅,./images/trash/trash95.jpg,6,6,0.3797072470188141,3,5,3
❌,./images/trash/trash81.jpg,6,4,0.9934450387954712,4,5,4
❌,./images/trash/trash2.jpg,6,5,0.9378862380981445,5,2,5
✅,./images/trash/trash3.jpg,6,6,0.4044978618621826,4,5,4
❌,./images/trash/trash80.jpg,6,3,0.9482517242431641,3,2,3
✅,./images/trash/trash94.jpg,6,6,0.4036959707736969,4,5,4
✅,./images/trash/trash43.jpg,6,6,0.4357268214225769,5,5,5
✅,./images/trash/trash57.jpg,6,6,0.44318097829818726,5,5,5
❌,./images/trash/trash69.jpg,6,5,0.967985987663269,5,2,5
✅,./images/trash/trash41.jpg,6,6,0.3765539228916168,1,5,1
✅,./images/trash/trash55.jpg,6,6,0.36696457862854004,3,5,3
❌,./images/trash/trash82.jpg,6,3,0.9103089570999146,3,2,3
❌,./images/trash/trash96.jpg,6,4,0.9972246289253235,4,3,4
❌,./images/trash/trash1.jpg,6,5,0.9782425165176392,5,5,5
✅,./images/trash/trash97.jpg,6,6,0.4318094253540039,5,5,5
❌,./images/trash/trash83.jpg,6,4,0.9806033968925476,4,5,4
❌,./images/trash/trash54.jpg,6,5,0.9805461168289185,5,5,5
❌,./images/trash/trash40.jpg,6,3,0.9401817321777344,3,5,3
✅,./images/trash/trash68.jpg,6,6,0.4660434126853943,5,5,5
❌,./images/trash/trash27.jpg,6,1,0.933132529258728,1,5,1
✅,./images/trash/trash33.jpg,6,6,0.44516104459762573,5,5,5
❌,./images/trash/trash105.jpg,6,4,0.9754369854927063,4,5,4
✅,./images/trash/trash111.jpg,6,6,0.4721248745918274,5,5,5
✅,./images/trash/trash110.jpg,6,6,0.38919711112976074,1,5,1
✅,./images/trash/trash104.jpg,6,6,0.36529433727264404,4,5,4
✅,./images/trash/trash32.jpg,6,6,0.39899545907974243,3,5,3
✅,./images/trash/trash26.jpg,6,6,0.38060516119003296,4,5,4
✅,./images/trash/trash30.jpg,6,6,0.33235183358192444,4,5,4
❌,./images/trash/trash24.jpg,6,5,0.9755517840385437,5,5,5
❌,./images/trash/trash112.jpg,6,5,0.9042285680770874,5,5,5
❌,./images/trash/trash18.jpg,6,5,0.9827495813369751,5,5,5
❌,./images/trash/trash106.jpg,6,4,0.9899532198905945,4,5,4
❌,./images/trash/trash19.jpg,6,4,0.9851006269454956,4,5,4
❌,./images/trash/trash107.jpg,6,5,0.8368515968322754,5,3,5
✅,./images/trash/trash113.jpg,6,6,0.45242708921432495,5,5,5
❌,./images/trash/trash25.jpg,6,5,0.9340461492538452,5,5,5
❌,./images/trash/trash31.jpg,6,4,0.9926924705505371,4,5,4
✅,./images/trash/trash117.jpg,6,6,0.44771257042884827,5,5,5
✅,./images/trash/trash103.jpg,6,6,0.33466988801956177,4,5,4
❌,./images/trash/trash35.jpg,6,5,0.8319277763366699,5,2,5
❌,./images/trash/trash21.jpg,6,5,0.9461663961410522,5,5,5
❌,./images/trash/trash20.jpg,6,4,0.9894276857376099,4,5,4
❌,./images/trash/trash34.jpg,6,3,0.9959110021591187,3,2,3
✅,./images/trash/trash102.jpg,6,6,0.5147265195846558,5,5,5
❌,./images/trash/trash116.jpg,6,5,0.9160667657852173,5,5,5
❌,./images/trash/trash100.jpg,6,4,0.9869128465652466,4,5,4
❌,./images/trash/trash114.jpg,6,1,0.970084011554718,1,5,1
❌,./images/trash/trash22.jpg,6,3,0.9513267278671265,3,2,3
✅,./images/trash/trash128.jpg,6,6,0.38510364294052124,3,5,3
✅,./images/trash/trash36.jpg,6,6,0.4659721851348877,5,5,4
✅,./images/trash/trash129.jpg,6,6,0.44307103753089905,5,5,5
❌,./images/trash/trash37.jpg,6,4,0.9881478548049927,4,5,4
❌,./images/trash/trash23.jpg,6,4,0.9944667816162109,4,5,4
❌,./images/trash/trash115.jpg,6,4,0.872357964515686,4,4,4
❌,./images/trash/trash101.jpg,6,0,0.8652809262275696,0,5,0
